Rank,Score,Stat,Season,lgID
7,0.051740544,OBP,2011,NL
8,0.021666421,SB,2011,NL
9,0.020696957,AVG,2011,NL
0,0.675357326,WAR_bat,2012,NL
1,0.104142543,AVG,2012,NL
2,0.029863838,SLG,2012,NL
3,0.025690685,wOBA,2012,NL
4,0.022742576,R/PA,2012,NL
5,0.021852651,FP,2012,NL
6,0.021524081,OBP,2012,NL
7,0.016213814,HR/PA,2012,NL
8,0.01478414,RBI/PA,2012,NL
9,0.013593586,SB,2012,NL
0,0.530602058,WAR_bat,2013,NL
1,0.062570111,RBI/PA,2013,NL
2,0.054447644,OBP,2013,NL
3,0.051588682,AVG,2013,NL
4,0.051584994,SB,2013,NL
5,0.047556805,PA,2013,NL
6,0.042695481,FP,2013,NL
7,0.032758063,HR/PA,2013,NL
8,0.030357749,WAR_pit,2013,NL
9,0.020354502,SLG,2013,NL
0,0.509132978,WAR_bat,2014,NL
1,0.059413842,FP,2014,NL
2,0.05236066,WAR_pit,2014,NL
3,0.047656945,PA,2014,NL
4,0.045592822,W_pit,2014,NL
5,0.034706007,CG,2014,NL
6,0.032605195,K/9,2014,NL
7,0.029117369,RBI/PA,2014,NL
8,0.024030209,HR/PA,2014,NL
9,0.024006323,AVG,2014,NL
0,0.198728681,wOBA,2015,NL
1,0.157268986,OBP,2015,NL
2,0.091332303,HR/PA,2015,NL
3,0.088649262,WAR_bat,2015,NL
4,0.079942769,PA,2015,NL
5,0.05605229,RBI/PA,2015,NL
6,0.055593196,SLG,2015,NL
7,0.054888407,R/PA,2015,NL
8,0.054876598,AVG,2015,NL
9,0.042650308,FP,2015,NL
0,0.321237471,WAR_bat,2016,NL
1,0.264201805,SLG,2016,NL
2,0.094870186,PA,2016,NL
3,0.071204039,R/PA,2016,NL
4,0.051687959,wOBA,2016,NL
5,0.043984972,RBI/PA,2016,NL
6,0.034449705,FP,2016,NL
7,0.030375671,OBP,2016,NL
8,0.025573504,SB,2016,NL
9,0.014844395,HR/PA,2016,NL
0,0.384778456,PA,2017,NL
1,0.277076963,WAR_bat,2017,NL
2,0.06674395,wOBA,2017,NL
3,0.054230861,SLG,2017,NL
