Rank,Score,Stat,Season,lgID
6,0.05027575723462795,wOBA,2011,NL
7,0.020582204492626703,HR/PA,2011,NL
8,0.018834478512474936,SB,2011,NL
9,0.017921301646483687,AVG,2011,NL
0,0.44477163314662704,WAR_bat,2012,NL
1,0.139776410448138,OPS,2012,NL
2,0.0828689834464763,wOBA,2012,NL
3,0.06028879887171986,SLG,2012,NL
4,0.04846671561149133,PA,2012,NL
5,0.040836794997132095,AVG,2012,NL
6,0.03928253675134005,OBP,2012,NL
7,0.036231466601939544,R/PA,2012,NL
8,0.026213592330926492,HR/PA,2012,NL
9,0.026150169424526637,RBI/PA,2012,NL
0,0.6358289952950253,WAR_bat,2013,NL
1,0.056995432742202014,OBP,2013,NL
2,0.04081496463667153,AVG,2013,NL
3,0.035287562163645037,PA,2013,NL
4,0.034832308807052514,HR/PA,2013,NL
5,0.03290180542905409,OPS,2013,NL
6,0.026695458775640543,RBI/PA,2013,NL
7,0.02431491651387872,SB,2013,NL
8,0.020632983011326433,wOBA,2013,NL
9,0.02008671966226214,SLG,2013,NL
0,0.6285158905770211,WAR_bat,2014,NL
1,0.07770709624194844,WAR_pit,2014,NL
2,0.050635399574921365,CG,2014,NL
3,0.04484352999984534,AVG,2014,NL
4,0.03493905450137056,SLG,2014,NL
5,0.018239581563418122,OPS,2014,NL
6,0.018195517125917823,FP,2014,NL
7,0.018034799635319308,RBI/PA,2014,NL
8,0.017079051113739304,SB,2014,NL
9,0.01518619626901545,W_pit,2014,NL
0,0.5011214125684522,WAR_bat,2015,NL
1,0.07757291267361464,FP,2015,NL
2,0.06133356426298538,CG,2015,NL
3,0.04288328547254654,OPS,2015,NL
4,0.03791829836483518,PA,2015,NL
5,0.03536538603950955,RBI/PA,2015,NL
6,0.03461100368546729,WAR_pit,2015,NL
7,0.03454372047218535,SB,2015,NL
8,0.030155566754515216,AVG,2015,NL
9,0.02847785769109196,SLG,2015,NL
0,0.407993107510522,WAR_bat,2016,NL
1,0.09980275679425683,OPS,2016,NL
2,0.07650431610901144,SLG,2016,NL
3,0.06883772437745304,CG,2016,NL
4,0.048149146075775695,RBI/PA,2016,NL
5,0.044248337625366715,PA,2016,NL
6,0.0429892458053895,FP,2016,NL
7,0.041897440309867945,wOBA,2016,NL
8,0.027290687806297433,W_pit,2016,NL
9,0.0264044162516912,R/PA,2016,NL
0,0.360759198088505,WAR_bat,2017,NL
1,0.15005973151159316,OPS,2017,NL
2,0.12926705394704263,PA,2017,NL
3,0.09833165461853687,SLG,2017,NL
4,0.042357428019732156,wOBA,2017,NL
5,0.037902788672072786,HR/PA,2017,NL
6,0.03552137165722431,OBP,2017,NL
7,0.03042632852599665,R/PA,2017,NL
8,0.025762630751878974,RBI/PA,2017,NL
9,0.019031685059152696,FP,2017,NL
0,0.47121617448452485,WAR_bat,2018,NL
1,0.13404375936295054,PA,2018,NL
2,0.12077911368426764,SLG,2018,NL
3,0.05666123459691803,OPS,2018,NL
4,0.03201365999896624,R/PA,2018,NL
5,0.031067169802468278,RBI/PA,2018,NL
6,0.029485478035444865,HR/PA,2018,NL
7,0.02446504440288393,SB,2018,NL
8,0.0212773107006087,WAR_pit,2018,NL
9,0.020091016331731288,OBP,2018,NL
0,0.27694337618847065,SLG,1984,AL
1,0.16286333186101862,OPS,1984,AL
2,0.13019779554231192,G_pit,1984,AL
3,0.0793556566849581,AVG,1984,AL
4,0.06753796546986023,R/PA,1984,AL
5,0.04690122404653241,SV,1984,AL
6,0.04201607562889329,RBI/PA,1984,AL
7,0.039681421376030986,Playoffs,1984,AL
8,0.030325588240665682,PA,1984,AL
9,0.024819475708273583,FP,1984,AL
0,0.2785190736172012,OPS,1985,AL
1,0.1840482972381226,SLG,1985,AL
2,0.10585647203583276,G_pit,1985,AL
3,0.07277245555663985,AVG,1985,AL
4,0.049638348610940256,FP,1985,AL
5,0.046298595028498465,PA,1985,AL
6,0.045758449650591004,R/PA,1985,AL
7,0.038518823501077715,RBI/PA,1985,AL
8,0.035052571254677825,SV,1985,AL
9,0.030748004443011134,K/9,1985,AL
0,0.1940458031793376,OPS,1986,AL
1,0.1294424170650209,SLG,1986,AL
2,0.11048551259822391,AVG,1986,AL
3,0.07524736787893986,W_pit,1986,AL
4,0.07158218776217308,OBP,1986,AL
5,0.05986260509635183,G_pit,1986,AL
6,0.05818120291300857,K/9,1986,AL
7,0.05797099204068948,SV,1986,AL
8,0.04890410658635155,FP,1986,AL
9,0.041237222962597866,R/PA,1986,AL
0,0.2566715229387535,AVG,1987,AL
1,0.1825586029049683,OPS,1987,AL
2,0.12528093227071438,RBI/PA,1987,AL
3,0.11557586915024301,W_pit,1987,AL
4,0.08662087196653168,SLG,1987,AL
5,0.07377086163376168,R/PA,1987,AL
6,0.04419340751800517,FP,1987,AL
7,0.02897922176055532,PA,1987,AL
8,0.021894723256572737,OBP,1987,AL
9,0.019920815083400687,SB,1987,AL
0,0.2772046186475578,OPS,1988,AL
1,0.22541118033817104,AVG,1988,AL
2,0.09215847543837608,W_pit,1988,AL
3,0.0882382184273856,RBI/PA,1988,AL
4,0.06255141184261573,SLG,1988,AL
5,0.03862947511970585,R/PA,1988,AL
6,0.03387311368672532,PA,1988,AL
7,0.029619991613791266,SV,1988,AL
8,0.02754652879093764,OBP,1988,AL
9,0.024179553228988463,FP,1988,AL
0,0.2674376461629303,OPS,1989,AL
1,0.12223683771291217,SLG,1989,AL
2,0.11451620581354895,AVG,1989,AL
3,0.11330288859500315,PA,1989,AL
4,0.11227134511451844,RBI/PA,1989,AL
5,0.04698032258575612,SB,1989,AL
6,0.04514760431242283,HR/PA,1989,AL
7,0.0423618927552895,R/PA,1989,AL
8,0.04150581355236979,OBP,1989,AL
9,0.03316056160004246,SV,1989,AL
0,0.2418387388602517,SLG,1990,AL
1,0.19136910176445984,OPS,1990,AL
2,0.11875014219696463,RBI/PA,1990,AL
3,0.07864106575934919,PA,1990,AL
4,0.056841929184545885,SV,1990,AL
5,0.055751915744043895,AVG,1990,AL
6,0.03895093693986172,FP,1990,AL
7,0.03807260222915083,R/PA,1990,AL
8,0.034083409511298166,HR/PA,1990,AL
9,0.028205423183976945,ShO,1990,AL
0,0.30363335510694756,SLG,1991,AL
1,0.1126856565791947,PA,1991,AL
2,0.09844259409388292,RBI/PA,1991,AL
3,0.08225008371180884,OPS,1991,AL
